/*********************************************
    * Lab01 - simple
    * Author: Coso
    * Creation Date: Mar, 2019
    *********************************************/
instance_name = "large_instance_22_simple";

d = 10;
r = 50;

SCj = [252 247 247 270 252 263 236 217 255 265];
Dk = [80 60 66 75 14 92 78 54 68 37 32 16 11 39 93 34 32 25 48 31 26 75 34 60 73 21 10 19 84 21 20 41 12 71 61 29 71 62 26 40 12 89 53 95 33 40 79 77 56 66];

Cjk = [[57 32 42 37 35 59 33 67 31 54 85 81 30 39 54 85 85 37 71 57 32 56 32 67
  59 35 42 89 33 58 87 70 45 43 73 77 70 52 55 60 50 74 60 42 68 44 49 56
  41 51]
 [74 80 61 83 66 52 67 35 83 67 42 73 54 77 50 44 44 35 31 44 62 55 40 35
  35 88 85 71 40 30 52 49 72 44 36 31 54 45 60 74 41 65 34 49 32 81 55 48
  65 76]
 [34 39 66 83 37 34 49 51 87 46 36 73 38 68 74 31 70 59 73 36 51 52 82 32
  82 86 81 52 72 77 33 73 33 56 61 46 77 69 37 86 46 85 43 60 61 32 32 42
  51 48]
 [79 50 89 81 40 85 89 33 84 67 59 82 50 31 80 85 54 80 50 65 60 76 66 81
  68 36 36 51 46 46 79 42 81 78 80 53 53 31 34 74 53 67 40 36 34 39 71 48
  80 89]
 [54 57 34 41 73 34 76 66 85 68 86 56 66 81 65 61 30 67 70 71 45 88 46 34
  88 84 65 77 74 72 67 70 33 67 63 83 40 53 57 49 36 79 73 36 35 59 80 45
  47 37]
 [78 43 74 60 86 54 65 42 49 76 51 66 62 32 70 69 76 59 60 59 78 38 35 49
  89 34 85 55 48 46 71 66 74 43 70 36 72 71 74 74 47 34 70 80 52 36 63 81
  88 34]
 [64 49 67 51 58 82 73 48 35 70 69 54 76 83 72 73 48 46 66 41 70 38 86 30
  53 44 34 46 67 64 34 89 68 69 55 44 44 60 81 84 71 80 50 39 72 51 39 35
  83 44]
 [72 40 31 69 40 64 33 63 87 56 41 72 32 58 66 86 30 82 66 58 41 63 77 63
  64 43 45 64 60 33 70 62 30 62 38 86 45 70 51 89 30 75 84 53 62 37 72 62
  40 65]
 [56 84 86 74 35 80 57 33 84 84 40 65 87 43 68 72 48 36 41 31 33 46 86 83
  70 71 40 45 66 69 45 74 57 80 61 30 63 51 47 68 34 33 71 48 44 40 56 51
  36 34]
 [68 61 60 59 32 47 40 35 87 44 72 52 88 61 64 63 64 59 69 64 88 37 31 73
  30 38 50 68 65 72 31 50 80 77 32 34 72 53 70 76 34 67 71 69 33 41 78 86
  75 37]];
