/*********************************************
    * Lab01 - simple
    * Author: Coso
    * Creation Date: Mar, 2019
    *********************************************/
instance_name = "large_instance_09_simple";

d = 10;
r = 50;

SCj = [277 278 245 268 284 290 322 285 302 298];
Dk = [25 62 88 51 48 33 98 31 20 66 28 98 79 75 11 15 25 38 23 81 99 65 98 96 76 87 14 21 66 42 46 56 34 35 89 89 37 42 86 61 25 20 90 21 44 57 49 63 53 96];

Cjk = [[61 60 31 54 31 88 77 87 33 70 59 33 41 55 49 30 88 76 62 80 57 55 75 57
  43 77 51 83 30 62 71 45 55 51 56 72 58 87 78 88 40 39 87 48 71 57 56 47
  78 53]
 [67 57 47 30 85 83 81 74 86 69 66 39 87 37 41 36 47 52 75 89 57 61 80 84
  35 67 34 70 72 86 65 54 45 60 46 66 86 77 86 53 47 58 52 62 34 86 74 55
  74 48]
 [86 47 65 65 38 80 88 69 77 43 56 89 63 59 65 79 51 73 62 82 88 73 37 54
  45 61 82 34 69 50 77 56 75 77 73 69 84 50 62 32 70 53 89 79 42 83 41 87
  54 63]
 [61 48 46 68 89 33 38 35 82 81 62 53 57 76 59 39 39 33 46 66 30 88 60 47
  70 66 87 50 68 49 86 57 31 46 67 80 59 62 86 47 62 41 56 85 80 42 54 37
  64 36]
 [31 78 30 62 54 79 37 85 88 80 80 65 71 55 45 31 86 34 81 32 44 79 41 83
  44 86 81 35 54 73 73 76 82 87 61 58 53 77 72 89 76 88 51 56 68 42 79 86
  42 41]
 [69 46 85 61 47 32 60 46 36 89 61 74 39 67 72 65 87 48 86 62 81 66 51 80
  34 39 77 68 51 53 45 40 63 45 75 63 41 41 87 74 34 71 31 63 80 56 55 81
  75 68]
 [41 88 61 35 75 59 83 78 68 61 38 43 72 35 89 57 67 65 45 81 88 53 54 57
  42 87 83 47 42 88 57 52 73 33 71 77 36 69 66 34 32 60 85 79 33 58 50 36
  55 75]
 [59 63 50 35 48 33 89 59 69 39 36 61 55 64 69 67 56 46 63 39 80 73 66 53
  46 73 52 77 80 38 34 44 78 41 45 62 85 80 45 62 71 72 76 55 61 76 35 70
  51 41]
 [32 74 43 65 39 50 34 53 62 80 89 31 50 69 32 68 68 41 47 31 85 47 53 39
  59 73 43 84 33 79 77 37 62 75 63 84 65 56 42 33 71 64 60 62 43 30 85 42
  66 60]
 [50 78 32 71 49 47 76 61 65 41 36 67 72 45 60 30 69 87 59 82 31 73 71 53
  68 50 44 84 88 87 89 85 36 35 60 57 44 41 67 69 65 89 63 59 62 47 35 37
  52 45]];
